term,label
urn:oma:lwm2m:oma:res:5705,Compass Direction
urn:oma:lwm2m:ext:3313,Accelerometer
urn:oma:lwm2m:oma:res:5509,Max X Value
urn:oma:lwm2m:oma:res:5515,Altitude
urn:oma:lwm2m:oma:res:5900,Set Point Value
urn:oma:lwm2m:oma:res:5546,Max Y Coordinate
urn:oma:lwm2m:oma:res:5813,Min Range reactive power
urn:oma:lwm2m:ext:3311,Light Control
urn:oma:lwm2m:oma:res:5802,Max Measured  active power
urn:oma:lwm2m:oma:res:5534,Counter
urn:oma:lwm2m:oma:res:5822,Reset Cumulative energy
urn:oma:lwm2m:ext:3327,Conductivity
urn:oma:lwm2m:ext:3301,Illuminance
urn:oma:lwm2m:oma:res:5706,Colour
urn:oma:lwm2m:oma:res:5804,Max Range active power
urn:oma:lwm2m:oma:res:5520,Max Limit
urn:oma:lwm2m:oma:res:5517,Velocity
urn:oma:lwm2m:oma:res:5851,Dimmer
urn:oma:lwm2m:oma:res:5806,Active Power Calibration
urn:oma:lwm2m:ext:3300,Generic Sensor
urn:oma:lwm2m:oma:res:5510,Min Y Value
urn:oma:lwm2m:oma:res:5821,Current Calibration
urn:oma:lwm2m:oma:res:5541,Up Counter
urn:oma:lwm2m:ext:3331,Energy
urn:oma:lwm2m:oma:res:5538,Remaining Time
urn:oma:lwm2m:oma:res:5501,Digital Input Counter
urn:oma:lwm2m:ext:3333,Time
urn:oma:lwm2m:ext:3347,Push button
urn:oma:lwm2m:oma:res:5811,Min Measured reactive power
urn:oma:lwm2m:ext:3328,Power
urn:oma:lwm2m:ext:3341,Addressable Text Display
urn:oma:lwm2m:oma:res:5605,Reset Min and Max Measured Values
urn:oma:lwm2m:oma:res:5903,Busy to Clear delay
urn:oma:lwm2m:ext:3308,Set Point
urn:oma:lwm2m:oma:res:5525,Minimum Off-time
urn:oma:lwm2m:oma:res:5548,Level
urn:oma:lwm2m:oma:res:5910,Bitmap Input
urn:oma:lwm2m:oma:res:5827,Avg Load Adj Pct
urn:oma:lwm2m:ext:3349,Bitmap
urn:oma:lwm2m:ext:3305,Power Measurement
urn:oma:lwm2m:oma:res:5529,Y Coordinate
urn:oma:lwm2m:oma:res:5519,Min Limit
urn:oma:lwm2m:oma:res:5508,Min X Value
urn:oma:lwm2m:oma:res:5604,Max Range Value
urn:oma:lwm2m:oma:res:5704,Z Value
urn:oma:lwm2m:oma:res:5814,Max Range reactive power
urn:oma:lwm2m:ext:3339,Audio Clip
urn:oma:lwm2m:ext:3319,Depth
urn:oma:lwm2m:ext:3330,Distance
urn:oma:lwm2m:ext:3316,Voltage
urn:oma:lwm2m:ext:3203,Analog Output
urn:oma:lwm2m:oma:res:5537,Transition Time
urn:oma:lwm2m:ext:3302,Presence
urn:oma:lwm2m:oma:res:5650,Analog Output Current Value
urn:oma:lwm2m:oma:res:5805,Cumulative active power
urn:oma:lwm2m:oma:res:5506,Current Time
urn:oma:lwm2m:ext:3303,Temperature
urn:oma:lwm2m:oma:res:5912,Element Description
urn:oma:lwm2m:oma:res:5518,Timestamp
urn:oma:lwm2m:ext:3321,Altitude
urn:oma:lwm2m:ext:3322,Load
urn:oma:lwm2m:oma:res:5823,Event Identifier
urn:oma:lwm2m:oma:res:5603,Min Range Value
urn:oma:lwm2m:ext:3201,Digital Output
urn:oma:lwm2m:oma:res:5801,Min Measured active power
urn:oma:lwm2m:ext:3346,Rate
urn:oma:lwm2m:oma:res:5526,Mode
