term,label
http://openconnectivity.org/iotdatamodels/schemas/alt,alt
http://openconnectivity.org/iotdatamodels/schemas/Altimeter,Altimeter
http://openconnectivity.org/iotdatamodels/schemas/autoFocus,autoFocus
http://openconnectivity.org/iotdatamodels/schemas/supportedVoices,supportedVoices
http://openconnectivity.org/iotdatamodels/schemas/Weight,Weight
http://openconnectivity.org/iotdatamodels/schemas/EnergyGeneration,EnergyGeneration
http://openconnectivity.org/iotdatamodels/schemas/Movement,Movement
http://openconnectivity.org/iotdatamodels/schemas/Automatic%20Document%20Feeder,Automatic Document Feeder
http://openconnectivity.org/iotdatamodels/schemas/value,value
http://openconnectivity.org/iotdatamodels/schemas/if,if
http://openconnectivity.org/iotdatamodels/schemas/id,id
http://openconnectivity.org/iotdatamodels/schemas/coarseness,coarseness
http://openconnectivity.org/iotdatamodels/schemas/LiquidLevel,LiquidLevel
http://openconnectivity.org/iotdatamodels/schemas/Speech%20Synthesis-TTS,Speech Synthesis-TTS
http://openconnectivity.org/iotdatamodels/schemas/lockState,lockState
http://openconnectivity.org/iotdatamodels/schemas/pan,pan
http://openconnectivity.org/iotdatamodels/schemas/Glass%20Break%20Sensor,Glass Break Sensor
http://openconnectivity.org/iotdatamodels/schemas/humidity,humidity
http://openconnectivity.org/iotdatamodels/schemas/Ramp%20Time,Ramp Time
http://openconnectivity.org/iotdatamodels/schemas/Auto%20White%20Balance,Auto White Balance
http://openconnectivity.org/iotdatamodels/schemas/mute,mute
http://openconnectivity.org/iotdatamodels/schemas/status,status
http://openconnectivity.org/iotdatamodels/schemas/openDuration,openDuration
http://openconnectivity.org/iotdatamodels/schemas/stopTime,stopTime
http://openconnectivity.org/iotdatamodels/schemas/Heating%20Zone,Heating Zone
http://openconnectivity.org/iotdatamodels/schemas/autoWhiteBalance,autoWhiteBalance
http://openconnectivity.org/iotdatamodels/schemas/measurement,measurement
http://openconnectivity.org/iotdatamodels/schemas/ins,ins
http://openconnectivity.org/iotdatamodels/schemas/Three%20Axis%20Sensor,Three Axis Sensor
http://openconnectivity.org/iotdatamodels/schemas/BatteryMaterial,BatteryMaterial
http://openconnectivity.org/iotdatamodels/schemas/capacity,capacity
http://openconnectivity.org/iotdatamodels/schemas/connected,connected
http://openconnectivity.org/iotdatamodels/schemas/Energy%20Usage,Energy Usage
http://openconnectivity.org/iotdatamodels/schemas/interval,interval
http://openconnectivity.org/iotdatamodels/schemas/ratedchargingapacity,ratedchargingapacity
http://openconnectivity.org/iotdatamodels/schemas/utterance,utterance
http://openconnectivity.org/iotdatamodels/schemas/precision,precision
http://openconnectivity.org/iotdatamodels/schemas/supporteddirections,supporteddirections
http://openconnectivity.org/iotdatamodels/schemas/heatinglevel,heatinglevel
http://openconnectivity.org/iotdatamodels/schemas/Magnetic%20Field%20Direction%20Sensor,Magnetic Field Direction Sensor
http://openconnectivity.org/iotdatamodels/schemas/movementSettings,movementSettings
http://openconnectivity.org/iotdatamodels/schemas/remaining,remaining
http://openconnectivity.org/iotdatamodels/schemas/url,url
http://openconnectivity.org/iotdatamodels/schemas/voltage,voltage
http://openconnectivity.org/iotdatamodels/schemas/rssi,rssi
http://openconnectivity.org/iotdatamodels/schemas/zoomFactorRange,zoomFactorRange
http://openconnectivity.org/iotdatamodels/schemas/Brewing,Brewing
http://openconnectivity.org/iotdatamodels/schemas/lowbattery,lowbattery
http://openconnectivity.org/iotdatamodels/schemas/Acceleration%20Sensor,Acceleration Sensor
http://openconnectivity.org/iotdatamodels/schemas/rts,rts
http://openconnectivity.org/iotdatamodels/schemas/temperature,temperature
http://openconnectivity.org/iotdatamodels/schemas/p,p
http://openconnectivity.org/iotdatamodels/schemas/Eco%20Mode,Eco Mode
http://openconnectivity.org/iotdatamodels/schemas/lockCodeList,lockCodeList
http://openconnectivity.org/iotdatamodels/schemas/Value%20Conditional,Value Conditional
http://openconnectivity.org/iotdatamodels/schemas/csc,csc
http://openconnectivity.org/iotdatamodels/schemas/desiredvoltage,desiredvoltage
http://openconnectivity.org/iotdatamodels/schemas/Lock,Lock
http://openconnectivity.org/iotdatamodels/schemas/n,n
http://openconnectivity.org/iotdatamodels/schemas/Media%20Source,Media Source
http://openconnectivity.org/iotdatamodels/schemas/Atmospheric%20Pressure%20Sensor,Atmospheric Pressure Sensor
http://openconnectivity.org/iotdatamodels/schemas/Air%20Flow%20Control,Air Flow Control
http://openconnectivity.org/iotdatamodels/schemas/currentJobState,currentJobState
http://openconnectivity.org/iotdatamodels/schemas/DRType,DRType
http://openconnectivity.org/iotdatamodels/schemas/Activity%20Count,Activity Count
http://openconnectivity.org/iotdatamodels/schemas/Operational%20State,Operational State
http://openconnectivity.org/iotdatamodels/schemas/Night%20Mode,Night Mode
http://openconnectivity.org/iotdatamodels/schemas/increment,increment
http://openconnectivity.org/iotdatamodels/schemas/jobStates,jobStates
http://openconnectivity.org/iotdatamodels/schemas/discharging,discharging
http://openconnectivity.org/iotdatamodels/schemas/eps,eps
http://openconnectivity.org/iotdatamodels/schemas/Delay%20Defrost,Delay Defrost
http://openconnectivity.org/iotdatamodels/schemas/dimmingSetting,dimmingSetting
http://openconnectivity.org/iotdatamodels/schemas/Colour%20Space%20Coordinates,Colour Space Coordinates
http://openconnectivity.org/iotdatamodels/schemas/airFlowControl,airFlowControl
http://openconnectivity.org/iotdatamodels/schemas/override,override
http://openconnectivity.org/iotdatamodels/schemas/current,current
http://openconnectivity.org/iotdatamodels/schemas/typeofconsumable,typeofconsumable
http://openconnectivity.org/iotdatamodels/schemas/pan_range,pan_range
http://openconnectivity.org/iotdatamodels/schemas/Media%20Source%20Input,Media Source Input
http://openconnectivity.org/iotdatamodels/schemas/currentAdfState,currentAdfState
http://openconnectivity.org/iotdatamodels/schemas/tilt_range,tilt_range
http://openconnectivity.org/iotdatamodels/schemas/speed,speed
http://openconnectivity.org/iotdatamodels/schemas/lqi,lqi
http://openconnectivity.org/iotdatamodels/schemas/Sleep%20Sensor,Sleep Sensor
http://openconnectivity.org/iotdatamodels/schemas/anchor,anchor
http://openconnectivity.org/iotdatamodels/schemas/Signal%20Strength,Signal Strength
http://openconnectivity.org/iotdatamodels/schemas/Consumables,Consumables
