term,label
urn:org.onem2m.home.moduleclass.relativeHumidity,moduleclass.relativeHumidity
urn:org.onem2m.home.moduleclass.audiovolume.downvolume,moduleclass.audiovolume.downvolume
urn:org.onem2m.home.device.deviceAirConditioner,device.deviceAirConditioner
urn:org.onem2m.home.moduleclass.runMode,moduleclass.runMode
urn:org.onem2m.home.moduleclass.waterSensor,moduleclass.waterSensor
urn:org.onem2m.home.moduleclass.alarmSpeaker,moduleclass.alarmSpeaker
urn:org.onem2m.home.moduleclass.height,moduleclass.height
urn:org.onem2m.home.moduleclass.boiler,moduleclass.boiler
urn:org.onem2m.home.moduleclass.waterLevel,moduleclass.waterLevel
urn:org.onem2m.home.moduleclass.doorStatus,moduleclass.doorStatus
urn:org.onem2m.home.moduleclass.bioElectricalImpedanceAnalysis,moduleclass.bioElectricalImpedanceAnalysis
urn:org.onem2m.home.moduleclass.pushButton,moduleclass.pushButton
urn:org.onem2m.home.moduleclass.timer.deactivateclocktimer,moduleclass.timer.deactivateclocktimer
urn:org.onem2m.home.device.deviceLight,device.deviceLight
urn:org.onem2m.home.moduleclass.clock,moduleclass.clock
urn:org.onem2m.home.device.deviceElectricVehicleCharger,device.deviceElectricVehicleCharger
urn:org.onem2m.home.moduleclass.waterFlow,moduleclass.waterFlow
urn:org.onem2m.home.moduleclass.spinLevel,moduleclass.spinLevel
urn:org.onem2m.home.moduleclass.brightness,moduleclass.brightness
urn:org.onem2m.home.moduleclass.timer.activateclocktimer,moduleclass.timer.activateclocktimer
urn:org.onem2m.home.device.deviceRefrigerator,device.deviceRefrigerator
urn:org.onem2m.home.moduleclass.rinseLevel,moduleclass.rinseLevel
urn:org.onem2m.home.moduleclass.electricVehicleConnector,moduleclass.electricVehicleConnector
urn:org.onem2m.home.moduleclass.turbo,moduleclass.turbo
urn:org.onem2m.home.device.deviceThermostat,device.deviceThermostat
urn:org.onem2m.home.moduleclass.hotWaterSupply,moduleclass.hotWaterSupply
urn:org.onem2m.home.moduleclass.audioVolume,moduleclass.audioVolume
urn:org.onem2m.home.device.deviceTelevision,device.deviceTelevision
urn:org.onem2m.home.moduleclass.faultDetection,moduleclass.faultDetection
urn:org.onem2m.home.moduleclass.energyGeneration,moduleclass.energyGeneration
urn:org.onem2m.home.moduleclass.recorder,moduleclass.recorder
urn:org.onem2m.home.moduleclass.battery,moduleclass.battery
urn:org.onem2m.home.moduleclass.customTemperature,moduleclass.customTemperature
urn:org.onem2m.home.moduleclass.televisionchannel.upchannel,moduleclass.televisionchannel.upchannel
urn:org.onem2m.home.moduleclass.refrigeration,moduleclass.refrigeration
urn:org.onem2m.home.moduleclass.energyConsumption,moduleclass.energyConsumption
urn:org.onem2m.home.moduleclass.frozenTemperature,moduleclass.frozenTemperature
urn:org.onem2m.home.moduleclass.weight,moduleclass.weight
urn:org.onem2m.home.moduleclass.temperature,moduleclass.temperature
urn:org.onem2m.home.moduleclass.timer,moduleclass.timer
urn:org.onem2m.home.moduleclass.alarmSpeaker,moduleclass.alarmSpeaker
urn:org.onem2m.home.device.deviceOven,device.deviceOven
urn:org.onem2m.home.moduleclass.audioVideoInput,moduleclass.audioVideoInput
urn:org.onem2m.home.moduleclass.alarmSpeaker,moduleclass.alarmSpeaker
urn:org.onem2m.home.moduleclass.colour,moduleclass.colour
urn:org.onem2m.home.device.deviceMicrogeneration,device.deviceMicrogeneration
urn:org.onem2m.home.device.deviceWaterHeater,device.deviceWaterHeater
urn:org.onem2m.home.moduleclass.televisionChannel,moduleclass.televisionChannel
urn:org.onem2m.home.moduleclass.freshTemperature,moduleclass.freshTemperature
urn:org.onem2m.home.moduleclass.motionSensor,moduleclass.motionSensor
urn:org.onem2m.home.moduleclass.temperatureAlarm,moduleclass.temperatureAlarm
urn:org.onem2m.home.moduleclass.powerSave,moduleclass.powerSave
urn:org.onem2m.home.moduleclass.signalStrength,moduleclass.signalStrength
urn:org.onem2m.home.moduleclass.televisionchannel.downchannel,moduleclass.televisionchannel.downchannel
urn:org.onem2m.home.device.deviceSmartElectricMeter,device.deviceSmartElectricMeter
urn:org.onem2m.home.device.deviceRobotCleaner,device.deviceRobotCleaner
urn:org.onem2m.home.moduleclass.keypad,moduleclass.keypad
urn:org.onem2m.home.device.deviceClothesWasher,device.deviceClothesWasher
urn:org.onem2m.home.moduleclass.binarySwitch,moduleclass.binarySwitch
urn:org.onem2m.home.moduleclass.colourSaturation,moduleclass.colourSaturation
urn:org.onem2m.home.moduleclass.wind,moduleclass.wind
urn:org.onem2m.home.moduleclass.smokeSensor,moduleclass.smokeSensor
urn:org.onem2m.home.moduleclass.binaryswitch.timer,moduleclass.binaryswitch.timer
urn:org.onem2m.home.moduleclass.oximeter,moduleclass.oximeter
urn:org.onem2m.home.device.deviceStorageBattery,device.deviceStorageBattery
http://www.onem2m.org/ontology/Base_Ontology#hasMetaData,hasMetaData
http://www.onem2m.org/ontology/Base_Ontology#canHaveMetaData,canHaveMetaData
http://www.onem2m.org/ontology/Base_Ontology#Value,Value
http://www.onem2m.org/ontology/Base_Ontology#hasOperationState,hasOperationState
http://www.onem2m.org/ontology/Base_Ontology#exposesCommand,exposesCommand
http://www.onem2m.org/ontology/Base_Ontology#hasOutput,hasOutput
http://www.onem2m.org/ontology/Base_Ontology#hasThingRelation,hasThingRelation
http://www.onem2m.org/ontology/Base_Ontology#hasService,hasService
http://www.onem2m.org/ontology/Base_Ontology#refersTo,refersTo
http://www.onem2m.org/ontology/Base_Ontology#exposesCommand,exposesCommand
http://www.onem2m.org/ontology/Base_Ontology#Target,Target
http://www.onem2m.org/ontology/Base_Ontology#describe,describe
http://www.onem2m.org/ontology/Base_Ontology#Thing,Thing
http://www.onem2m.org/ontology/Base_Ontology#hasInputTarget,hasInputTarget
http://www.onem2m.org/ontology/Base_Ontology#isExposedByService,isExposedByService
http://www.onem2m.org/ontology/Base_Ontology#isPartOf,isPartOf
http://www.onem2m.org/ontology/Base_Ontology#exposesCommand,exposesCommand
http://www.onem2m.org/ontology/Base_Ontology#hasCommand,hasCommand
http://www.onem2m.org/ontology/Base_Ontology#Command,Command
http://www.onem2m.org/ontology/Base_Ontology#hasTarget,hasTarget
http://www.onem2m.org/ontology/Base_Ontology#Command,Command
http://www.onem2m.org/ontology/Base_Ontology#isExposedByOperation,isExposedByOperation
http://www.onem2m.org/ontology/Base_Ontology#hasOutputTarget,hasOutputTarget
http://www.onem2m.org/ontology/Base_Ontology#hasOutputTarget,hasOutputTarget
http://www.onem2m.org/ontology/Base_Ontology#hasInputTarget,hasInputTarget
http://www.onem2m.org/ontology/Base_Ontology#Output,Output
http://www.onem2m.org/ontology/Base_Ontology#hasMetaData,hasMetaData
http://www.onem2m.org/ontology/Base_Ontology#netTechnologyCommunicationProtocol,netTechnologyCommunicationProtocol
http://www.onem2m.org/ontology/Base_Ontology#describe,describe
http://www.onem2m.org/ontology/Base_Ontology#hasOperation,hasOperation
http://www.onem2m.org/ontology/Base_Ontology#isPartOf,isPartOf
http://www.onem2m.org/ontology/Base_Ontology#Value,Value
