term,label
http://www.wurvoc.org/vocabularies/om-1.8/mole_micrometre,mole micrometre
http://w3id.org/saref#measuresProperty,measures property
http://www.wurvoc.org/vocabularies/om-1.8/Normal_coordinates,normal coordinates
http://www.wurvoc.org/vocabularies/om-1.8/footcandle,footcandle
http://www.wurvoc.org/vocabularies/om-1.8/gram_per_metre,gram per metre
http://www.wurvoc.org/vocabularies/om-1.8/Osmotic_coefficient,osmotic coefficient
http://www.wurvoc.org/vocabularies/om-1.8/acre_foot,acre foot
http://www.wurvoc.org/vocabularies/om-1.8/Mass,mass
http://www.wurvoc.org/vocabularies/om-1.8/Unit_division,unit division
http://www.wurvoc.org/vocabularies/om-1.8/Radiance,radiance
http://www.wurvoc.org/vocabularies/om-1.8/Distance,distance
http://www.wurvoc.org/vocabularies/om-1.8/centimetre-gram-second_system_of_units,centimetre-gram-second system of units
http://www.wurvoc.org/vocabularies/om-1.8/Curvature_constant,curvature constant
http://www.wurvoc.org/vocabularies/om-1.8/Number_density_of_ions_of_charge_number_z,number density of ions of charge number z
http://www.wurvoc.org/vocabularies/om-1.8/_660_323_on_the_Celsius_scale,660.323 on the Celsius scale
http://www.wurvoc.org/vocabularies/om-1.8/Particle_momentum_vector,particle momentum vector
http://www.wurvoc.org/vocabularies/om-1.8/Specific_amylase_activity,specific amylase activity
http://www.wurvoc.org/vocabularies/om-1.8/Spectral_response,spectral response
http://www.wurvoc.org/vocabularies/om-1.8/zeptomole_per_metre,zeptomole per metre
http://www.wurvoc.org/vocabularies/om-1.8/Ion_temperature,ion temperature
http://www.wurvoc.org/vocabularies/om-1.8/mole_per_femtolitre,mole per femtolitre
http://www.wurvoc.org/vocabularies/om-1.8/Quantum_number_of_component_of_electronic_spin_along_the_symmetry_axis,quantum number of component of electronic spin along the symmetry axis
http://w3id.org/saref#ToggleCommand,Toggle command
http://www.wurvoc.org/vocabularies/om-1.8/Exposure_to_x_and_gamma_rays,exposure to x and γ rays
http://www.wurvoc.org/vocabularies/om-1.8/decigram_per_litre,decigram per litre
http://www.wurvoc.org/vocabularies/om-1.8/micromole_per_metre,micromole per metre
http://www.wurvoc.org/vocabularies/om-1.8/yottametre_per_second-time,yottametre per second
http://www.wurvoc.org/vocabularies/om-1.8/joule_per_mole,joule per mole
http://www.wurvoc.org/vocabularies/om-1.8/abampere,abampere
http://www.wurvoc.org/vocabularies/om-1.8/Albedo,albedo
http://www.wurvoc.org/vocabularies/om-1.8/Specific_Escherichia_coli_count,Escherichia coli count (specific)
