oneiota,ipso,similarity
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),<http://w3id.org/saref#Sensor>,0.144654088
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Light>)),0.545454545
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Amount_of_substance_fraction>)),0.692307692
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),<http://w3id.org/saref#TemperatureSensor>,0.545454545
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Humidity>)),0.5625
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Electrical_conductance>)),0.692307692
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),<http://w3id.org/saref#Switch>,0.261904762
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),<http://w3id.org/saref#Actuator>,0.234042553
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Power>)),0.620689655
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Time>)),0.620689655
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Sound_power_level>)),0.692307692
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Acceleration>)),0.666666667
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Electric_current>)),0.692307692
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Frequency>)),0.692307692
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Acidity>)),0.692307692
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Number>)),0.692307692
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Energy>)),0.620689655
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Pressure>)),0.486486486
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Distance>)),0.692307692
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://org.semanticweb.owlapi/error#Error1>)),0.692307692
